dataset,sequence,metric,sequence_value,rwtt_percentile,robust_z
8i,Redandblack,r4_E_D111,0.00018957595560284082,44.467300326287415,-0.16085466254301586
8i,Redandblack,r3_E_D111,0.0003460156473409572,50.01418640941978,0.0006320771918635275
8i,Redandblack,r2_E_D111,0.0005397968662369041,53.411831465456096,0.09076650047502863
8i,Redandblack,r1_E_D111,0.0007656901834292705,54.84465881685345,0.1350234018618856
8i,Redandblack,r5_energy_share,0.04121629656736096,20.045396510143284,-0.6746465440917836
8i,Redandblack,r4_energy_share,0.09872600311616297,39.90636969782948,-0.25131836692407705
8i,Redandblack,r45_energy_share,0.13994229968352395,29.46517236487445,-0.4801361567430295
8i,Redandblack,r5_over_r4,0.4174816691289027,4.357391242637144,-1.2221369152278945
8i,Soldier,retention_level1,0.27971400002387314,54.69570151794581,0.11717928113773157
8i,Soldier,retention_level2,0.26438611579797394,71.6200879557384,0.5652238642284976
8i,Soldier,retention_level3,0.2578314150556859,62.88125975315648,0.32124535383617336
8i,Soldier,retention_level4,0.25175768082442457,45.52418782806072,-0.11120524637205496
8i,Soldier,retention_level5,0.24636572302983933,39.68648035182295,-0.2515453958088572
8i,Soldier,var_Y,0.008973703449512205,33.33096893176337,-0.391587626484065
8i,Soldier,var_U,8.865203739549798e-05,18.839551709462334,-0.6250091544075493
8i,Soldier,var_V,8.628302550794942e-05,30.621364732586184,-0.4552728614030074
8i,Soldier,Y_variance_share,0.980878568689096,72.911051212938,0.505945288080098
8i,Soldier,UV_variance_share,0.01912143131090406,27.088948787061994,-0.5059452880800953
8i,Soldier,tv6_D111,0.00010861378775385669,21.329266562633,-0.6009016207166801
8i,Soldier,tv6_mean_degree,3.5386280852564203,43.74379344587885,-0.14644241178985024
8i,Soldier,r5_E_D111,6.017277077744859e-05,25.43623208965811,-0.5445994784564296
8i,Soldier,r4_E_D111,0.00014366687539113334,35.92708185558235,-0.3677952615131278
8i,Soldier,r3_E_D111,0.0002516445752660507,38.00539083557951,-0.3090341548191118
8i,Soldier,r2_E_D111,0.0003646009031038632,36.04766633565045,-0.3303106052657241
8i,Soldier,r1_E_D111,0.0005074928305541301,36.941410129096326,-0.31439212627876817
8i,Soldier,r5_energy_share,0.04532522594746634,23.535253227408145,-0.6009377431759655
8i,Soldier,r4_energy_share,0.10821728007762045,47.19818413959427,-0.07037115388086836
8i,Soldier,r45_energy_share,0.1535425060250868,35.24613420343311,-0.3541375394943993
8i,Soldier,r5_over_r4,0.4188353829901855,4.44255198353559,-1.216567385921514
Owlii,Basketball,retention_level1,0.2610770681861854,5.788055043268549,-1.1861804022930826
Owlii,Basketball,retention_level2,0.25601085272809493,18.300468151510852,-0.9377112715186775
Owlii,Basketball,retention_level3,0.2555902138374234,48.43949496382466,-0.04153732650341422
Owlii,Basketball,retention_level4,0.2476106454933098,32.62164846077458,-0.46879418793996236
Owlii,Basketball,retention_level5,0.25712589073634207,59.85955454674422,0.24901076385013884
Owlii,Basketball,var_Y,0.05141762441800071,98.28344446020712,4.000707745334099
Owlii,Basketball,var_U,0.0002717420455543018,51.900978862249964,0.057108025497381025
Owlii,Basketball,var_V,0.0001895865096119831,53.76649170095049,0.12307969716304985
Owlii,Basketball,Y_variance_share,0.9911075970364148,90.22556390977444,0.7878675970781079
Owlii,Basketball,UV_variance_share,0.008892402963585152,9.774436090225564,-0.7878675970781073
Owlii,Basketball,tv6_D111,8.989640785177986e-05,17.55568165697262,-0.650018993261696
Owlii,Basketball,tv6_mean_degree,3.8344923557271446,94.04880124840403,1.1924801363884443
Owlii,Basketball,r5_E_D111,4.834199289731844e-05,20.350404312668463,-0.6144790842147608
Owlii,Basketball,r4_E_D111,0.00010973345956286659,28.174209107674848,-0.5207541394566818
Owlii,Basketball,r3_E_D111,0.00022625059023429785,34.23180592991914,-0.39236116899443324
Owlii,Basketball,r2_E_D111,0.0004445473790147848,44.11264009079302,-0.1381621670897824
Owlii,Basketball,r1_E_D111,0.0007000084326399036,50.90793020286566,0.02069845471775007
Owlii,Basketball,r5_energy_share,0.031619181534401235,11.654135338345865,-0.8468061934534118
Owlii,Basketball,r4_energy_share,0.0717736686132487,18.37140019860973,-0.7651533159109362
Owlii,Basketball,r45_energy_share,0.10339285014764993,14.690026954177897,-0.8187472033008365
Owlii,Basketball,r5_over_r4,0.44054013324553193,6.997374210488965,-1.1272684239383166
Owlii,Dancer,retention_level1,0.26096165734618354,5.68165697262023,-1.1942515717967
Owlii,Dancer,retention_level2,0.2543926202887476,12.554972336501631,-1.2281019578301107
Owlii,Dancer,retention_level3,0.2529288074496846,32.018726060434105,-0.4723385124697996
Owlii,Dancer,retention_level4,0.24618255853410248,28.684919846786777,-0.5919347120580928
Owlii,Dancer,retention_level5,0.24534803583735354,37.842247127252094,-0.2988875568884639
Owlii,Dancer,var_Y,0.042199160684372405,96.32571996027805,3.0467380208463397
Owlii,Dancer,var_U,0.00022197777037527566,45.609306284579375,-0.128292955072175
Owlii,Dancer,var_V,0.00024310955725714845,61.59738970066676,0.4227326257773488
Owlii,Dancer,Y_variance_share,0.9890988978054516,86.84210526315789,0.7325058260430204
Owlii,Dancer,UV_variance_share,0.010901102194548425,13.157894736842104,-0.732505826043019
Owlii,Dancer,tv6_D111,0.00011576074052882075,22.811746346999573,-0.5821468834700105
Owlii,Dancer,tv6_mean_degree,3.843162335941929,94.63044403461484,1.2317158034169946
Owlii,Dancer,r5_E_D111,6.183651964835626e-05,26.017874875868916,-0.5347723887791601
Owlii,Dancer,r4_E_D111,0.00015676874120503358,38.622499645339765,-0.3087370545821354
Owlii,Dancer,r3_E_D111,0.00031353979134622666,45.94268690594411,-0.10593316294058742
Owlii,Dancer,r2_E_D111,0.0005986999758976512,58.39126117179742,0.23233797559082656
Owlii,Dancer,r1_E_D111,0.0010574909022269723,69.2722371967655,0.642928586365107
Owlii,Dancer,r5_energy_share,0.02825732502559335,8.880692296779685,-0.907113487444654
Owlii,Dancer,r4_energy_share,0.07163833442235971,18.272095332671302,-0.7677334054784688
Owlii,Dancer,r45_energy_share,0.09989565944795308,13.477088948787062,-0.8511467994062246
Owlii,Dancer,r5_over_r4,0.3944441932303453,2.4057909303810945,-1.3169190555544048
Owlii,Exercise,retention_level1,0.2596417804025514,4.383600510710739,-1.2865561641191998
Owlii,Exercise,retention_level2,0.25481779539593086,13.93105405021989,-1.1518045804105346
Owlii,Exercise,retention_level3,0.251669282852658,25.961129238189812,-0.6762174437944903
Owlii,Exercise,retention_level4,0.24827778812139267,34.39494963824656,-0.4112680741735628
Owlii,Exercise,retention_level5,0.24671916010498687,40.317775571002976,-0.23510372781235891
Owlii,Exercise,var_Y,0.029646061120357767,88.62249964533976,1.7476845908409162
Owlii,Exercise,var_U,0.0002546064507571444,49.773017449283586,-0.006732069964805909
Owlii,Exercise,var_V,0.000143334148462404,45.43197616683217,-0.1358677298534593
Owlii,Exercise,Y_variance_share,0.9867547404991579,82.91956305858987,0.6678984930681258
Owlii,Exercise,UV_variance_share,0.013245259500842118,17.080436941410127,-0.6678984930681233
Owlii,Exercise,tv6_D111,7.332411015731412e-05,14.001986097318769,-0.6935073299864137
Owlii,Exercise,tv6_mean_degree,3.8540646531346154,95.4106965527025,1.2810538268743565
Owlii,Exercise,r5_E_D111,3.827927616118985e-05,15.973897006667613,-0.6739154700131469
Owlii,Exercise,r4_E_D111,6.705479154643225e-05,16.66903106823663,-0.7131332740818884
Owlii,Exercise,r3_E_D111,0.0001290581459305668,18.605475954036034,-0.7112853620308702
Owlii,Exercise,r2_E_D111,0.00026944299907676473,25.741239892183287,-0.5590191559625193
Owlii,Exercise,r1_E_D111,0.0004184834715053215,29.692154915590866,-0.46932085680578395
Owlii,Exercise,r5_energy_share,0.041503307713592515,20.279472265569584,-0.6694979407741818
Owlii,Exercise,r4_energy_share,0.07270241045059185,19.009788622499645,-0.7474472424514524
Owlii,Exercise,r45_energy_share,0.11420571816418436,18.945949780110652,-0.7185717806374536
Owlii,Exercise,r5_over_r4,0.5708656350781923,26.69079554325456,-0.5910755676888345
Owlii,Model,retention_level1,0.2587148710386086,3.440204284295645,-1.351378867001795
Owlii,Model,retention_level2,0.2535567164793061,10.497942970634133,-1.3781043153480181
Owlii,Model,retention_level3,0.2522480763882451,28.486310114909916,-0.5825282790320782
Owlii,Model,retention_level4,0.24494671076809996,25.23052915307136,-0.6984989101656384
Owlii,Model,retention_level5,0.23705926481620404,24.826216484607745,-0.6844759142271688
Owlii,Model,var_Y,0.03309569673949542,91.60873882820258,2.1046690121352283
Owlii,Model,var_U,0.00013668737789021557,30.160306426443466,-0.44604946499833603
Owlii,Model,var_V,0.00016101851289468394,48.83671442757838,-0.036860445590678824
Owlii,Model,Y_variance_share,0.9910848890099343,90.17591147680523,0.7872417410299276
Owlii,Model,UV_variance_share,0.008915110990065658,9.82408852319478,-0.7872417410299274
Owlii,Model,tv6_D111,0.00020435098988888755,36.85629167257767,-0.349672022969292
Owlii,Model,tv6_mean_degree,3.868251856694362,96.19094907079018,1.3452574791488197
Owlii,Model,r5_E_D111,0.00010755384963079369,40.38161441339197,-0.26473866590267964
Owlii,Model,r4_E_D111,0.00023160063968539766,50.8795573840261,0.028576562292464018
Owlii,Model,r3_E_D111,0.00044902928136587573,61.49099163001844,0.33865773688696393
Owlii,Model,r2_E_D111,0.0007303862917245386,67.48474960987375,0.5488412313875402
Owlii,Model,r1_E_D111,0.0011082236840384864,71.19449567314513,0.7312335193087529
Owlii,Model,r5_energy_share,0.04094491612687486,19.754575117037877,-0.6795147530605452
Owlii,Model,r4_energy_share,0.08816856671705908,31.330685203574976,-0.4525914623206555
Owlii,Model,r45_energy_share,0.12911348284393392,25.074478649453823,-0.5804593366978299
Owlii,Model,r5_over_r4,0.4643935775690991,10.347030019161167,-1.0291291782543517
