dataset,sequence,metric,num_blocks,p25,median,p75,p95
8i,Loot,r3_E_D111,16,3.594107478087072e-05,9.464702340367193e-05,0.000172632178747075,0.00020174155932752502
8i,Loot,r2_E_D111,16,4.7677915291445756e-05,0.00015505355719475002,0.00020690109218845,0.000429417099005975
8i,Loot,r1_E_D111,16,5.903369676443839e-05,0.00021672369297935,0.00035667363065385,0.00057435412457575
8i,Loot,r5_energy_share,16,0.031513870019193646,0.0450224539635836,0.05972625176388462,0.07505705408318843
8i,Loot,r4_energy_share,16,0.06622894716316373,0.09175523776146549,0.1287812638748015,0.1698154454119718
8i,Loot,r45_energy_share,16,0.0956648899162565,0.13619775916953206,0.18850751563868612,0.2443620630337547
8i,Loot,r5_over_r4,16,0.4077055232197498,0.4632557066816614,0.5008284394725264,0.5994519221842335
8i,Redandblack,retention_level1,8,0.27823061735173316,0.28031822789086913,0.2816911446400101,0.2842955338896715
8i,Redandblack,retention_level2,8,0.26035947016489736,0.2616122542032424,0.26269783351216563,0.2635353746604258
8i,Redandblack,retention_level3,8,0.2520848665920097,0.25432732827835947,0.2561959821587879,0.2570973065224825
8i,Redandblack,retention_level4,8,0.24187830577202465,0.2445593867240583,0.24802263606721836,0.2546803599374021
8i,Redandblack,retention_level5,8,0.2346790890269151,0.2439467676039413,0.26830853597255905,0.2715649647156496
8i,Redandblack,var_Y,8,0.0055969481373788,0.00800435342354485,0.011630467358268575,0.01383261072225288
8i,Redandblack,var_U,8,0.000311376111973675,0.00038675777235515,0.0006431901663718,0.0008130908149894298
8i,Redandblack,var_V,8,0.001084643958532225,0.00338959005777525,0.007300962536601375,0.007848666280220774
8i,Redandblack,Y_variance_share,8,0.5873268032183243,0.6579246433683454,0.8300319303644311,0.8755377359300215
8i,Redandblack,UV_variance_share,8,0.16996806963556882,0.34207535663165456,0.4126731967816756,0.5093866089419117
8i,Redandblack,tv6_D111,8,8.085329008394168e-05,0.00011646431241805,0.000240097228785175,0.000268609772588225
8i,Redandblack,tv6_mean_degree,8,3.516286387008901,3.531706647520906,3.572457264731657,3.5846459228600693
8i,Redandblack,r5_E_D111,8,4.330708367597182e-05,6.409330872968243e-05,0.000131025514622075,0.00014559673403554497
8i,Redandblack,r4_E_D111,8,0.0001083215043334859,0.00016598255862625,0.000307025116294875,0.00034469853090979497
8i,Redandblack,r3_E_D111,8,0.00023717943996887499,0.0003098983489148,0.000535501675337475,0.000596018450343265
8i,Redandblack,r2_E_D111,8,0.000315866873501875,0.00053162105136545,0.0007651860944163751,0.0009188650703432949
8i,Redandblack,r1_E_D111,8,0.000441674453255025,0.00091486243342745,0.0010426030626120501,0.001102175408543685
8i,Redandblack,r5_energy_share,8,0.0326338213970525,0.0404052987000057,0.0466017140149181,0.04881050411734923
8i,Redandblack,r4_energy_share,8,0.0652387753480253,0.09503608088641416,0.1107905703777608,0.12872033491244408
8i,Redandblack,r45_energy_share,8,0.09697042792180972,0.13544137958641989,0.15765914494971595,0.177210606361349
8i,Redandblack,r5_over_r4,8,0.4075596047786685,0.421376053035155,0.45215688571420537,0.5171331983697993
8i,Soldier,retention_level1,16,0.27778104248692487,0.27979373567608856,0.28156402421108306,0.28358724235702004
8i,Soldier,retention_level2,16,0.26307234268957425,0.2642181879723483,0.2648263752445829,0.26794950721655186
8i,Soldier,retention_level3,16,0.25429953123153354,0.2573217148535589,0.26057719484986797,0.26512484443960294
8i,Soldier,retention_level4,16,0.24222834604190532,0.25146719979573845,0.2600211976682565,0.2668810049531539
8i,Soldier,retention_level5,16,0.2390742895423454,0.25078867492660595,0.25667527993109385,0.2625029727039715
8i,Soldier,var_Y,16,0.004638641623116075,0.00749065487910255,0.010653624723038324,0.016918140058559974
8i,Soldier,var_U,16,4.877546381935188e-05,6.740778999479724e-05,9.554811661701201e-05,0.000172702580718775
8i,Soldier,var_V,16,3.888018262204752e-05,5.469866238874688e-05,0.00010565647657603049,0.00017017296585925
8i,Soldier,Y_variance_share,16,0.9785147744025771,0.9839275363337339,0.9861392258243024,0.9883076317813779
8i,Soldier,UV_variance_share,16,0.013860774175697626,0.01607246366626615,0.02148522559742295,0.03165946115050445
8i,Soldier,tv6_D111,16,6.981902200971414e-05,9.435282739179111e-05,0.000120556789605625,0.000218965122450425
8i,Soldier,tv6_mean_degree,16,3.512663806781454,3.5396255468172115,3.5621143562320032,3.590923782100253
8i,Soldier,r5_E_D111,16,3.8696138085493334e-05,5.163573136396669e-05,6.663917561946763e-05,0.000122940558650575
8i,Soldier,r4_E_D111,16,9.525418804559623e-05,0.00011752470932199999,0.000162970101979175,0.00029039542170199997
8i,Soldier,r3_E_D111,16,0.00017105433949772498,0.00020475931550925002,0.00027130388741145,0.0004855067875334
8i,Soldier,r2_E_D111,16,0.00024288422578662498,0.0002911965045508,0.0004387062200964,0.0006737210618206
8i,Soldier,r1_E_D111,16,0.00033860430837805004,0.00049318564726285,0.000647976191582125,0.000864492609956375
8i,Soldier,r5_energy_share,16,0.036009344265439926,0.0462900224296736,0.05360397525454225,0.0608057398152149
8i,Soldier,r4_energy_share,16,0.0881460212579652,0.10925657243448089,0.12276091819825369,0.14030244567565178
8i,Soldier,r45_energy_share,16,0.12415536552340523,0.15597115956033952,0.1758974471279804,0.20167640911672127
8i,Soldier,r5_over_r4,16,0.39981733590957813,0.41274251794136646,0.4363140899000486,0.45648087558342776
Owlii,Basketball,retention_level1,8,0.26066479286971916,0.26077848222090483,0.26161745054105917,0.2625920604459091
Owlii,Basketball,retention_level2,8,0.25512609581499796,0.2565219979101495,0.25699854726563703,0.2584680324216542
Owlii,Basketball,retention_level3,8,0.2521918035786678,0.2557815447506143,0.2577541405933856,0.2600747114434095
Owlii,Basketball,retention_level4,8,0.24430452223641103,0.246535660193452,0.2492760617760617,0.2572375556846794
Owlii,Basketball,retention_level5,8,0.2480201062127501,0.24942498347653663,0.2694551289477952,0.280830228418697
Owlii,Basketball,var_Y,8,0.008582396239167376,0.0171599231738804,0.03447019906188972,0.06279429564871461
Owlii,Basketball,var_U,8,0.000154686585663625,0.0002458164290932,0.00028474008987844997,0.0003678642674285849
Owlii,Basketball,var_V,8,6.022844620361123e-05,0.00013340966550635,0.0001805580064866,0.00036729417420721994
Owlii,Basketball,Y_variance_share,8,0.9660202250126619,0.9837660426432178,0.990042512052952,0.9931727579489062
Owlii,Basketball,UV_variance_share,8,0.009957487947047925,0.0162339573567821,0.033979774987338,0.07424654882626969
Owlii,Basketball,tv6_D111,8,5.8401265840859375e-05,8.528816601090691e-05,0.000113479805781775,0.00015253111038506496
Owlii,Basketball,tv6_mean_degree,8,3.829649240909502,3.832236478543511,3.8402347089051365,3.8459921008618982
Owlii,Basketball,r5_E_D111,8,2.856898838194074e-05,4.616513153290559e-05,6.103581093487792e-05,8.534830781053633e-05
Owlii,Basketball,r4_E_D111,8,4.8467151865628256e-05,0.00010344422792974358,0.000157828094920925,0.00019841177299813998
Owlii,Basketball,r3_E_D111,8,8.891245547412951e-05,0.00022070477238915,0.0003065877484019,0.000424757693813475
Owlii,Basketball,r2_E_D111,8,0.000166530206036325,0.00044395056363760006,0.0006552674332123,0.000840411174893865
Owlii,Basketball,r1_E_D111,8,0.000220712812706925,0.00062650312814785,0.0011035359759374,0.00142204545846031
Owlii,Basketball,r5_energy_share,8,0.03227522010347805,0.0363928389228837,0.04985336562262802,0.05557173692395783
Owlii,Basketball,r4_energy_share,8,0.07590258303454962,0.0842974843090698,0.09353025465480767,0.10431320082108937
Owlii,Basketball,r45_energy_share,8,0.10878838862596055,0.1230849196138918,0.14031929987118788,0.15882783754424296
Owlii,Basketball,r5_over_r4,8,0.43177256531571556,0.4462207905093786,0.49495014556505956,0.5869856969596763
Owlii,Dancer,retention_level1,8,0.2602252298822504,0.2610107686171728,0.26168384048224314,0.2621359647897777
Owlii,Dancer,retention_level2,8,0.25306540464317373,0.25381325548010114,0.2550070950482263,0.2584057601598064
Owlii,Dancer,retention_level3,8,0.25229500677283956,0.25246706132028307,0.2536429381107117,0.2551635927454196
Owlii,Dancer,retention_level4,8,0.24180129699553687,0.2436232818287149,0.25008768090227096,0.2603033063567225
Owlii,Dancer,retention_level5,8,0.23832124807734562,0.2409039193377535,0.2473401610818335,0.26355186019036575
Owlii,Dancer,var_Y,8,0.019141358756902725,0.02366823497643765,0.03225047420483762,0.05130744522227111
Owlii,Dancer,var_U,8,3.774883153815495e-05,9.095490752308073e-05,0.00019291066520709998,0.00033544622152502997
Owlii,Dancer,var_V,8,9.578982285207704e-06,8.368937670202704e-05,0.000226110313191025,0.000450197731813415
Owlii,Dancer,Y_variance_share,8,0.9872211462947504,0.993397864958905,0.9970214965539435,0.9991640155501827
Owlii,Dancer,UV_variance_share,8,0.0029785034460564,0.00660213504109485,0.012778853705249501,0.027794849212850144
Owlii,Dancer,tv6_D111,8,6.529244665541548e-05,0.0001030704249609489,0.000124713497551725,0.00022515779595946994
Owlii,Dancer,tv6_mean_degree,8,3.836960392307331,3.8451826106774543,3.8484469531318517,3.8523041116850303
Owlii,Dancer,r5_E_D111,8,3.621285998626522e-05,5.4344377886645654e-05,6.42306885128777e-05,0.00012148648722997161
Owlii,Dancer,r4_E_D111,8,8.201463178948559e-05,0.00013789160971735,0.00016648198598884998,0.0003273759585622149
Owlii,Dancer,r3_E_D111,8,0.0002181171936408,0.00028953598072995,0.000352616829355725,0.0005881680110393949
Owlii,Dancer,r2_E_D111,8,0.00044410964474965,0.0005398642056146,0.000694586547857025,0.0011255808883744998
Owlii,Dancer,r1_E_D111,8,0.0007055763417049,0.00105042990731865,0.0012695205058802501,0.0016987296439256146
Owlii,Dancer,r5_energy_share,8,0.023916254790850775,0.03084008502917595,0.032208125404931225,0.034008699778261764
Owlii,Dancer,r4_energy_share,8,0.06434792385664165,0.0700773979804009,0.0734244635682485,0.08577021218000702
Owlii,Dancer,r45_energy_share,8,0.0882641786474925,0.10120698213597909,0.1066559624524673,0.11840253010492183
Owlii,Dancer,r5_over_r4,8,0.3716215260358023,0.4265917859503511,0.44710391606095984,0.464350507740245
Owlii,Exercise,retention_level1,8,0.2593065648173408,0.25960417648371814,0.26008469532005657,0.26030690246313565
Owlii,Exercise,retention_level2,8,0.2542703197971982,0.2548721254881919,0.2555716203253724,0.25647792939045283
Owlii,Exercise,retention_level3,8,0.2515080520330387,0.2523365125976374,0.25258095501460387,0.2531948920862089
Owlii,Exercise,retention_level4,8,0.24464048455893028,0.24810821935157035,0.25417162698412693,0.25652340841399845
Owlii,Exercise,retention_level5,8,0.23867154318074557,0.2503282215860396,0.2544123406292154,0.26280396264292566
Owlii,Exercise,var_Y,8,0.005668765842111325,0.00745501267977005,0.009111938912982875,0.02373356795141537
Owlii,Exercise,var_U,8,8.749542485736451e-05,0.00017436129196325,0.0003308553788574,0.00042438753263021996
Owlii,Exercise,var_V,8,2.5993589814289623e-05,8.049383158634238e-05,0.000192275704282125,0.00029988786754680494
Owlii,Exercise,Y_variance_share,8,0.9410476518960166,0.9729115966750139,0.987836202317798,0.9900816077047531
Owlii,Exercise,UV_variance_share,8,0.012163797682202025,0.0270884033249861,0.05895234810398338,0.11443075198761982
Owlii,Exercise,tv6_D111,8,5.7947066506149464e-05,6.727939212468491e-05,7.916934188751843e-05,0.00011210897506078895
Owlii,Exercise,tv6_mean_degree,8,3.847974828331677,3.856104759306565,3.8595582946851517,3.8687706158081396
Owlii,Exercise,r5_E_D111,8,2.772517277392032e-05,3.797020735312623e-05,4.3664513213251384e-05,5.677643805663697e-05
Owlii,Exercise,r4_E_D111,8,5.677601354967054e-05,6.651537422658089e-05,7.761323381092292e-05,9.222743880297044e-05
Owlii,Exercise,r3_E_D111,8,0.00010608973286184905,0.00013198814706255,0.0001486212254349,0.000164936548700855
Owlii,Exercise,r2_E_D111,8,0.000215150706186225,0.00023307208445335,0.0003147973908227,0.00040551100811143
Owlii,Exercise,r1_E_D111,8,0.00031274274356674997,0.00033707509496445,0.000468680959917725,0.0007411628691416899
Owlii,Exercise,r5_energy_share,8,0.0363646590146712,0.0372530527855548,0.04174975825766642,0.062425552721585655
Owlii,Exercise,r4_energy_share,8,0.06349432721792453,0.07117565577118609,0.07911011658059128,0.10357150763174158
Owlii,Exercise,r45_energy_share,8,0.10167042173007519,0.10842870855674094,0.11898324685058426,0.16599706035332734
Owlii,Exercise,r5_over_r4,8,0.536865865359918,0.5705244266669152,0.6012966432732758,0.6426821277484975
Owlii,Model,retention_level1,8,0.2576381371702404,0.2591052011126942,0.25957807805981586,0.26034469617336253
Owlii,Model,retention_level2,8,0.2520189336956472,0.253930333488148,0.25523874144112946,0.2560642759149415
Owlii,Model,retention_level3,8,0.24760799941769474,0.25207595492504664,0.25516168807681516,0.26064211271718707
Owlii,Model,retention_level4,8,0.2391053356760528,0.24208299208299205,0.24712693068123104,0.2595563600272644
Owlii,Model,retention_level5,8,0.2244760437867869,0.2375772685359106,0.25038819875776397,0.26085314593458553
Owlii,Model,var_Y,8,0.01196610944484015,0.01950376905507195,0.03105029122377525,0.04667860609663657
Owlii,Model,var_U,8,8.62497750187402e-05,0.00010202038913758532,0.00011409308222465,0.0002519461140989199
Owlii,Model,var_V,8,6.622842462636336e-05,0.00010753023208670548,0.0002331788858549,0.00029273612264637996
Owlii,Model,Y_variance_share,8,0.981349173248494,0.9833312533266714,0.9904577295713499,0.996799118195335
Owlii,Model,UV_variance_share,8,0.00954227042865,0.0166687466733286,0.018650826751506,0.022330797570848517
Owlii,Model,tv6_D111,8,8.464345424367804e-05,0.0001647481129551969,0.000289810313487625,0.00041431092372853993
Owlii,Model,tv6_mean_degree,8,3.8592904316520507,3.8646793159924835,3.8808426276164876,3.896234031717813
Owlii,Model,r5_E_D111,8,4.698246975196981e-05,8.871988817805881e-05,0.000150533897914475,0.00021287446524784995
Owlii,Model,r4_E_D111,8,0.000111520974997175,0.00019841946477575,0.000324124230591225,0.00042575099634291493
Owlii,Model,r3_E_D111,8,0.0002400347168695,0.00037845621654320003,0.000602981339637025,0.0008010474182962849
Owlii,Model,r2_E_D111,8,0.00045958391683734997,0.0006263392042594,0.00100197441007945,0.001197869441246685
Owlii,Model,r1_E_D111,8,0.0009452333600289,0.00117343153570975,0.0013277515109806248,0.0014728621610972698
Owlii,Model,r5_energy_share,8,0.029263773119208025,0.037459046843659596,0.04765360716671847,0.0552766650181728
Owlii,Model,r4_energy_share,8,0.07143879047646565,0.08489495969264779,0.10376913273553595,0.11368011016401054
Owlii,Model,r45_energy_share,8,0.10070256359567374,0.1223540065363074,0.151613105179991,0.1688235194877678
Owlii,Model,r5_over_r4,8,0.4104783212099026,0.44658056066795276,0.4762399838070174,0.5047663578800412
